attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
dager_ce,gpt2,sst2,0,11,"the entire movie is about a boring, sad man being boring and sad. ","the entire movie is about a boring, sad man being boring and sad. ",1.0,1.0,1.0,1,1.0,1.0,16,16
dager_ce,gpt2,sst2,0,12,the second coming of harry potter is a film far superior to its predecessor. ,the second coming of harry potter is a film far superior to its predecessor. ,1.0,1.0,1.0,1,1.0,1.0,18,18
dager_ce,gpt2,sst2,0,13,"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work. ","a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work. ",1.0,1.0,1.0,1,1.0,1.0,34,34
dager_ce,gpt2,sst2,0,14,"so, too, is this comedy about mild culture clashing in today's new delhi. ","so, too, is this comedy about mild culture clashing in today's new delhi. ",1.0,1.0,1.0,1,1.0,1.0,20,20
dager_ce,gpt2,sst2,0,15,"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss, there isn't a redeeming moment here. ","with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss, there isn't a redeeming moment here. ",1.0,1.0,1.0,1,1.0,1.0,33,33
dager_ce,gpt2,sst2,1,0,"a swashbuckling tale of love, betrayal, revenge and above all, faith. ","a swashbuckling tale of love, betrayal, revenge and above all, faith. ",1.0,1.0,1.0,1,1.0,1.0,19,19
dager_ce,gpt2,sst2,1,1,"a poignant and compelling story about relationships, food of love takes us on a bumpy but satisfying journey of the heart. ","a poignant and compelling story about relationships, food of love takes us on a bumpy but satisfying journey of the heart. ",1.0,1.0,1.0,1,1.0,1.0,25,25
dager_ce,gpt2,sst2,1,2,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation. ,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation. ,1.0,1.0,1.0,1,1.0,1.0,23,23
dager_ce,gpt2,sst2,1,3,"an occasionally funny, but overall limp, fish-out-of-water story. ","an occasionally funny, but overall limp, fish-out-of-water story. ",1.0,1.0,1.0,1,1.0,1.0,18,18
dager_ce,gpt2,sst2,1,4,"may be far from the best of the series, but it's assured, wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation. ","may be far from the best of the series, but it's assured, wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation. ",1.0,1.0,1.0,1,1.0,1.0,44,44
dager_ce,gpt2,sst2,1,5,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch. ,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch. ,1.0,1.0,1.0,1,1.0,1.0,19,19
dager_ce,gpt2,sst2,1,6,the most compelling wiseman epic of recent years. ,the most compelling wiseman epic of recent years. ,1.0,1.0,1.0,1,1.0,1.0,12,12
dager_ce,gpt2,sst2,1,7,it's a charming and often affecting journey. ,it's a charming and often affecting journey. ,1.0,1.0,1.0,1,1.0,1.0,10,10
dager_ce,gpt2,sst2,1,8,"it will grip even viewers who aren't interested in rap, as it cuts to the heart of american society in an unnerving way. ","it will grip even viewers who aren't interested in rap, as it cuts to the heart of american society in an unnerving way. ",1.0,1.0,1.0,1,1.0,1.0,29,29
dager_ce,gpt2,sst2,1,9,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality. ","visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality. ",1.0,1.0,1.0,1,1.0,1.0,43,43
dager_ce,gpt2,sst2,1,10,a superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate. ,a superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate. ,1.0,1.0,1.0,1,1.0,1.0,29,29
dager_ce,gpt2,sst2,1,11,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered. ,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered. ,1.0,1.0,1.0,1,1.0,1.0,28,28
dager_ce,gpt2,sst2,1,12,"it just may inspire a few younger moviegoers to read stevenson's book, which is a treasure in and of itself. ","it just may inspire a few younger moviegoers to read stevenson's book, which is a treasure in and of itself. ",1.0,1.0,1.0,1,1.0,1.0,27,27
dager_ce,gpt2,sst2,1,13,"though moonlight mile is replete with acclaimed actors and actresses and tackles a subject that's potentially moving, the movie is too predictable and too self-conscious to reach a level of high drama. ","though moonlight mile is replete with acclaimed actors and actresses and tackles a subject that's potentially moving, the movie is too predictable and too self-conscious to reach a level of high drama. ",1.0,1.0,1.0,1,1.0,1.0,40,40
dager_ce,gpt2,sst2,1,14,very psychoanalytical -- provocatively so -- and also refreshingly literary. ,very psychoanalytical -- provocatively so -- and also refreshingly literary. ,1.0,1.0,1.0,1,1.0,1.0,18,18
dager_ce,gpt2,sst2,1,15,the movie's relatively simple plot and uncomplicated morality play well with the affable cast. ,the movie's relatively simple plot and uncomplicated morality play well with the affable cast. ,1.0,1.0,1.0,1,1.0,1.0,20,20
dager_ce,gpt2,sst2,2,0,"highbrow self-appointed guardians of culture need not apply, but those who loved cool as ice have at last found a worthy follow-up. ","highbrow self-appointed guardians of culture need not apply, but those who loved cool as ice have at last found a worthy follow-up. ",1.0,1.0,1.0,1,1.0,1.0,30,30
dager_ce,gpt2,sst2,2,1,worth watching for dong jie's performance -- and for the way it documents a culture in the throes of rapid change. ,worth watching for dong jie's performance -- and for the way it documents a culture in the throes of rapid change. ,1.0,1.0,1.0,1,1.0,1.0,27,27
dager_ce,gpt2,sst2,2,2,yakusho and shimizu... create engaging characterizations in imamura's lively and enjoyable cultural mix. ,yakusho and shimizu... create engaging characterizations in imamura's lively and enjoyable cultural mix. ,1.0,1.0,1.0,1,1.0,1.0,24,24
dager_ce,gpt2,sst2,2,3,"the film is beautifully mounted, but, more to the point, the issues are subtly presented, managing to walk a fine line with regard to the question of joan's madness. ","the film is beautifully mounted, but, more to the point, the issues are subtly presented, managing to walk a fine line with regard to the question of joan's madness. ",1.0,1.0,1.0,1,1.0,1.0,37,37
dager_ce,gpt2,sst2,2,4,"a difficult, absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear. ","a difficult, absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear. ",1.0,1.0,1.0,1,1.0,1.0,30,30
dager_ce,gpt2,sst2,2,5,not since freddy got fingered has a major release been so painful to sit through. ,not since freddy got fingered has a major release been so painful to sit through. ,1.0,1.0,1.0,1,1.0,1.0,20,20
dager_ce,gpt2,sst2,2,6,"the inspirational screenplay by mike rich covers a lot of ground, perhaps too much, but ties things together, neatly, by the end. ","the inspirational screenplay by mike rich covers a lot of ground, perhaps too much, but ties things together, neatly, by the end. ",1.0,1.0,1.0,1,1.0,1.0,29,29
dager_ce,gpt2,sst2,2,7,i can take infantile humor... but this is the sort of infantile that makes you wonder about changing the director and writer's diapers. ,i can take infantile humor... but this is the sort of infantile that makes you wonder about changing the director and writer's diapers. ,1.0,1.0,1.0,1,1.0,1.0,29,29
dager_ce,gpt2,sst2,2,8,"there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority. ","there's something auspicious, and daring, too, about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority. ",1.0,1.0,1.0,1,1.0,1.0,48,48
dager_ce,gpt2,sst2,2,9,"what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure. ","what really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure. ",1.0,1.0,1.0,1,1.0,1.0,48,48
dager_ce,gpt2,sst2,2,10,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos. ","sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects, not the least of which is rebecca romijn-stamos. ",1.0,1.0,1.0,1,1.0,1.0,37,37
dager_ce,gpt2,sst2,2,11,just one bad idea after another. ,just one bad idea after another. ,1.0,1.0,1.0,1,1.0,1.0,8,8
dager_ce,gpt2,sst2,2,12,( d ) oesn't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful. ,( d ) oesn't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful. ,1.0,1.0,1.0,1,1.0,1.0,39,39
dager_ce,gpt2,sst2,2,13,the magic of the film lies not in the mysterious spring but in the richness of its performances. ,the magic of the film lies not in the mysterious spring but in the richness of its performances. ,1.0,1.0,1.0,1,1.0,1.0,20,20
dager_ce,gpt2,sst2,2,14,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs. ,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs. ,1.0,1.0,1.0,1,1.0,1.0,53,53
dager_ce,gpt2,sst2,2,15,"something akin to a japanese alice through the looking glass, except that it seems to take itself far more seriously. ","something akin to a japanese alice through the looking glass, except that it seems to take itself far more seriously. ",1.0,1.0,1.0,1,1.0,1.0,26,26
